ask-f46d89d7f-4nlzw:/app# grep -r "Sync up Flocs successfully-------------------- Total Record:" logs/
logs/pms-task-2024-05-19.2-debug.log:00:58:25.861 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21151 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 5041 , AreaCode: 8216C ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:59:19.542 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21155 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1560 , AreaCode: 8218 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:00:59:55.920 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21157 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 186 , AreaCode: 8209 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:01:01:23.624 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21156 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 24001 , AreaCode: 8205 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-debug.log:01:03:05.052 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21161 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2903 , AreaCode: 8321 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.0-debug.log:00:36:24.869 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21129 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 7884 , AreaCode: 5039 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.0-debug.log:00:41:05.772 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21130 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1560 , AreaCode: 8218 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:54:50.431 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21142 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 773 , AreaCode: 8201 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:54:51.588 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21141 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 7417 , AreaCode: 8204 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:55:39.503 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21143 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 3178 , AreaCode: 8228 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:56:04.975 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21144 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 597 , AreaCode: 8207 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:56:31.735 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21145 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2714 , AreaCode: 8322 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
